Company,Company Path,Country,Industry,Earnings,Employees,Marketcap,Net-Assets,Operating-Margin,Pe-Ratio,Ps-Ratio,Revenue,Total-Assets,Total-Debt,Total-Liabilities
Prudential,https://companiesmarketcap.com/prudential,UK,Insurance,,14671,24810000000,17310000000,-0.1778,,0.192,1.2928E+11,1.6545E+11,4750000000,1.4814E+11
Swiss Re,https://companiesmarketcap.com/swiss-re,Switzerland,Insurance,4370000000,14408,33660000000,12850000000,,,0.7691,43740000000,1.7903E+11,11150000000,1.6617E+11
New India Assurance,https://companiesmarketcap.com/new-india-assurance,India,Insurance,130000000,13926,4430000000,3270000000,0.0308,31.8,0.8696,5200000000,12300000000,,9020000000
Assurant,https://companiesmarketcap.com/assurant,USA,Insurance,910000000,13700,9060000000,4800000000,0.0533,17.6,0.8107,11130000000,33630000000,2080000000,28820000000
Sampo,https://companiesmarketcap.com/sampo,Finland,Insurance,1700000000,13492,21040000000,8490000000,0.1724,18.1,2.23,9510000000,26780000000,3090000000,18280000000
ageas,https://companiesmarketcap.com/ageas,Belgium,Insurance,630000000,13388,8300000000,8910000000,0.1515,,0.7887,14830000000,1.0757E+11,4940000000,98660000000
Helvetia Holding,https://companiesmarketcap.com/helvetia-holding,Switzerland,Insurance,760000000,13276,7080000000,4610000000,0.0722,10.7,0.5782,10650000000,64960000000,2240000000,60340000000
Suncorp,https://companiesmarketcap.com/suncorp,Australia,Insurance,2250000000,13000,13330000000,8830000000,0.1087,20.6,1.18,9690000000,76110000000,17650000000,67280000000
Porto Seguro,https://companiesmarketcap.com/porto-seguro,Brazil,Insurance,710000000,13000,3830000000,2570000000,,10.3,0.6381,6110000000,9120000000,250000000,6540000000
ICICI Lombard,https://companiesmarketcap.com/icici-lombard,India,Insurance,290000000,12865,9830000000,1400000000,0.1175,46.7,4.18,2380000000,7400000000,4200000,5990000000
QBE Insurance,https://companiesmarketcap.com/qbe-insurance,Australia,Insurance,1830000000,12479,17220000000,9950000000,0.0692,31.2,0.8642,17440000000,42100000000,3080000000,32150000000
Equitable Holdings,https://companiesmarketcap.com/equitable-holdings,USA,Insurance,960000000,12300,12140000000,5150000000,0.0917,6.57,1.16,10520000000,2.7681E+11,5630000000,2.7165E+11
NN Group,https://companiesmarketcap.com/nn-group,Netherlands,Insurance,2710000000,11917,12580000000,22670000000,0.0755,7.15,0.5626,22440000000,2.2278E+11,15230000000,2.001E+11
UnipolSai Assicurazioni,https://companiesmarketcap.com/unipolsai,Italy,Insurance,840000000,11781,8090000000,8070000000,0.0674,14.6,0.5488,14870000000,83050000000,2760000000,74970000000
PB Fintech,https://companiesmarketcap.com/pb-fintech,India,Insurance,-670000,11694,6780000000,680000000,-0.1085,-198,18.4,380000000,770000000,31690000,93210000
Lincoln National Corporation,https://companiesmarketcap.com/lincoln-national-corporation,USA,Insurance,-820000000,11316,4800000000,6890000000,-0.1562,4.01,0.4206,11700000000,3.7241E+11,5940000000,3.6552E+11
